charger_id,station_id,charger_name,type,power_rating_kw,price,currency,symbol,price_display,last_used_on,connector_count,available_connector_count
68377,11736,CJK Rk Puram 3,AC,3.0,15.0,INR,₹,₹ 15.0,,1,0
62626,11737,CJK Lajpat Nagar 1,AC,9.0,15.0,INR,₹,₹ 15.0,01/05/2026,3,3
62627,11738,CJK A1 Banquet hall 1,AC,9.0,15.0,INR,₹,₹ 15.0,18/05/2026,3,3
62632,11738,CJK A1 Banquet hall 2,AC,9.0,15.0,INR,₹,₹ 15.0,15/05/2026,3,0
62628,11739,CJK Kalkaji Mandir 1,AC,9.0,15.0,INR,₹,₹ 15.0,20/05/2026,3,3
62636,11739,CJK Kalkaji Mandir 2,AC,9.0,15.0,INR,₹,₹ 15.0,08/05/2026,3,3
214,1174,SG Jabli DC Charger,DC,120.0,23.46,INR,₹,₹ 23.46,21/05/2026,3,1
62633,11740,CJK NEAR VASANT VIHAR SATYA NIKETAN NEAR MOTHER DAIRY 1,AC,9.0,15.0,INR,₹,₹ 15.0,20/05/2026,3,3
62641,11740,CJK NEAR VASANT VIHAR SATYA NIKETAN NEAR MOTHER DAIRY 2,AC,9.0,15.0,INR,₹,₹ 15.0,08/05/2026,3,2
62635,11741,CJK South extension 1,AC,9.0,15.0,INR,₹,₹ 15.0,15/05/2026,3,3
62640,11743,CJK Majnu Ka Tila 3107 1,AC,9.0,15.0,INR,₹,₹ 15.0,21/05/2026,3,2
62645,11743,CJK Majnu Ka Tila 3107 2,AC,9.0,15.0,INR,₹,₹ 15.0,21/05/2026,3,3
62643,11744,CJK Jam Nagar House Near Entry Gate From Akbar Road Parking 1,AC,9.0,15.0,INR,₹,₹ 15.0,09/04/2026,3,0
62647,11744,CJK Jam Nagar House Near Entry Gate From Akbar Road Parking 2,AC,9.0,15.0,INR,₹,₹ 15.0,15/05/2026,3,3
62644,11745,CJK JLN Stadium 3019 1,AC,9.0,15.0,INR,₹,₹ 15.0,02/12/2025,3,0
62649,11747,CJK NH8 7 Panchsheel Park Metro Station Gate No1 1,AC,9.0,15.0,INR,₹,₹ 15.0,20/05/2026,3,3
62650,11748,SRAVANI FILLING STATION,DC,120.0,14.0,INR,₹,₹ 14.0,02/11/2025,2,0
62651,11749,Sugar & Spice DC Charger 1,DC,120.0,21.99,INR,₹,₹ 21.99,19/05/2026,2,2
69129,11749,Sugar & Spice DC Charger 2,DC,120.0,21.99,INR,₹,₹ 21.99,21/05/2026,2,2
62652,11750,RS Petroleum,DC,120.0,14.0,INR,₹,₹ 14.0,21/05/2026,2,2
62653,11751,NARMADA FUELS,DC,120.0,14.0,INR,₹,₹ 14.0,,2,0
62654,11752,SRI LAKSHMI VENKATESWARA QLTY FUELS,DC,120.0,14.0,INR,₹,₹ 14.0,,2,0
62655,11753,RUDRA FILLING STATION,DC,120.0,14.0,INR,₹,₹ 14.0,20/05/2026,2,0
62656,11754,MGM FUEL ZONE,DC,120.0,14.0,INR,₹,₹ 14.0,20/05/2026,2,2
62657,11755,SLVT FILLING STATION,DC,60.0,14.0,INR,₹,₹ 14.0,14/11/2025,2,0
62659,11756,"YHB Click Collection Jaipur Plot No. 1-2, Motilal Atal Road Near Central Bus Stand Polo Victory 2",DC,40.0,21.0,INR,₹,₹ 21.0,20/05/2026,1,1
62658,11756,"YHB Click Collection Jaipur Plot No. 1-2, Motilal Atal Road Near Central Bus Stand Polo Victory 1",AC,22.0,18.0,INR,₹,₹ 18.0,21/05/2026,1,1
62660,11757,YHB Hotel Vesta Udaipur 1,DC,30.0,21.0,INR,₹,₹ 21.0,20/05/2026,1,1
62661,11758,ETP HI-FI Veg Restaurant 1,DC,25.0,22.0,INR,₹,₹ 22.0,20/05/2026,1,1
70043,11758,ETP HI-FI Veg Restaurant 2,AC,7.0,18.0,INR,₹,₹ 18.0,,1,0
70044,11758,ETP HI-FI Veg Restaurant 3,AC,7.0,18.0,INR,₹,₹ 18.0,,1,0
70045,11758,ETP HI-FI Veg Restaurant 4,AC,7.0,12.0,INR,₹,₹ 12.0,,1,0
70046,11758,ETP HI-FI Veg Restaurant 5,AC,7.0,12.0,INR,₹,₹ 12.0,,1,0
62662,11759,"ANDHRA ASBESTOS TRANSPORT CO.,",DC,120.0,14.0,INR,₹,₹ 14.0,31/12/2025,2,0
62663,11760,ANAGHA FUELS,DC,120.0,14.0,INR,₹,₹ 14.0,,2,0
62664,11761,LSAK Fuels,DC,120.0,14.0,INR,₹,₹ 14.0,10/11/2025,2,0
62665,11762,L.S.REDDY FILLING STATION,DC,120.0,14.0,INR,₹,₹ 14.0,15/11/2025,2,0
62666,11763,SOWBHAGYA QUALITY FUELS,DC,120.0,14.0,INR,₹,₹ 14.0,,2,0
62667,11764,BHAGWATI FS,DC,120.0,14.0,INR,₹,₹ 14.0,21/05/2026,2,2
62668,11765,CJK NEAR C1 VASANT KUNJ NELSON MANDELA MARG 1,AC,9.0,15.0,INR,₹,₹ 15.0,13/05/2026,3,0
62669,11765,CJK NEAR C1 VASANT KUNJ NELSON MANDELA MARG 2,AC,9.0,15.0,INR,₹,₹ 15.0,07/05/2026,3,3
62670,11766,CJK Pearl Academy 1,AC,9.0,15.0,INR,₹,₹ 15.0,19/05/2026,3,3
62674,11766,CJK Pearl Academy 2,AC,9.0,15.0,INR,₹,₹ 15.0,18/04/2026,3,3
62671,11767,CJK Hauz khas Metro 1,AC,9.0,15.0,INR,₹,₹ 15.0,16/05/2026,3,3
62672,11768,CJK RTR Marg 2 1,AC,9.0,15.0,INR,₹,₹ 15.0,05/05/2026,3,0
